"iWine","Barcode","Location","Bin","Size","Currency","ExchangeRate","Valuation","Price","NativePrice","NativePriceCurrency","StoreName","PurchaseDate","BottleNote","Vintage","Wine","Locale","Country","Region","SubRegion","Appellation","Producer","SortProducer","Type","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","WA","WS","IWC","BH","AG","WE","JR","RH","JG","GV","JK","LD","CW","WFW","PR","SJ","WD","RR","JH","MFW","WWR","IWR","CHG","TT","TWF","DR","FP","JM","PG","WAL","CT","CNotes","MY","PNotes","BeginConsume","EndConsume"
"3632333","0128728998","Cellar","B","750ml","USD","1","0","0","0","USD","Unknown","5/16/2020","","2019","Zerba Cellars Sangiovese Estate Cockburn Vineyard","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Zerba Cellars","Zerba Cellars","Rosé","Rosé","Dry","Sangiovese","Sangiovese","Estate","Cockburn Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","1","","","",""
"3632333","0128728997","Cellar","B","750ml","USD","1","0","0","0","USD","Unknown","5/16/2020","","2019","Zerba Cellars Sangiovese Estate Cockburn Vineyard","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Zerba Cellars","Zerba Cellars","Rosé","Rosé","Dry","Sangiovese","Sangiovese","Estate","Cockburn Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","1","","","",""
"1749294","0118176027","Cellar","C","500ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2008","Abacela Tawny Port","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Abacela","Abacela","Red - Fortified","Red","Fortified","Port Blend","Port Blend","Tawny Port","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","1","","","2020","2022"
"1749294","0118176026","Cellar","C","500ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2008","Abacela Tawny Port","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Abacela","Abacela","Red - Fortified","Red","Fortified","Port Blend","Port Blend","Tawny Port","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","1","","","2020","2022"
"3215751","0129289434","Cellar","C","750ml","USD","1","0","0","0","USD","Unknown","5/27/2020","","2016","AniChe Cellars Moth Love","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","AniChe Cellars","AniChe Cellars","Red","Red","Dry","Syrah Blend","Syrah","Moth Love","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","2022"
"3095266","0118319223","Cellar","C","750ml","USD","1","0","0","0","USD","Unknown","9/23/2019","","2015","Cooper Ridge Vineyard Merlot","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Cooper Ridge Vineyard","Cooper Ridge Vineyard","Red","Red","Dry","Merlot","Merlot","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","",""
"3035799","0125286702","Cellar","C","750ml","USD","1","0","0","0","USD","Unknown","3/12/2020","","2016","Delfino Cabernet Sauvignon","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Delfino","Delfino","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2019","2024"
"3084637","0118319029","Cellar","C","750ml","USD","1","0","0","0","USD","Unknown","9/23/2019","","2016","Delfino Tempranillo","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Delfino","Delfino","Red","Red","Dry","Tempranillo","Tempranillo","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2018","2028"
"2792793","0118175904","Cellar","C","375ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2015","Raptor Ridge Pinot Noir Shea Vineyard","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Raptor Ridge","Raptor Ridge","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Shea Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.2857142857143","7","","","2018","2020"
"2684481","0118175988","Cellar","C","375ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2013","Zerba Cellars Syrah Late Harvest","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Zerba Cellars","Zerba Cellars","Red - Sweet/Dessert","Red","Sweet/Dessert","Syrah","Syrah","Late Harvest","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","1","","","2020","2035"
"3046482","0118174561","Cellar","D","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2015","Cathedral Ridge Malbec Reserve McKinley Vineyard","USA, Oregon, Columbia Valley","USA","Oregon","Unknown","Columbia Valley","Cathedral Ridge","Cathedral Ridge","Red","Red","Dry","Malbec","Malbec","Reserve","McKinley Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2025"
"3046482","0118174562","Cellar","D","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2015","Cathedral Ridge Malbec Reserve McKinley Vineyard","USA, Oregon, Columbia Valley","USA","Oregon","Unknown","Columbia Valley","Cathedral Ridge","Cathedral Ridge","Red","Red","Dry","Malbec","Malbec","Reserve","McKinley Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2025"
"3326526","0119147686","Cellar","D","750ml","USD","1","0","0","0","USD","Unknown","10/15/2019","","2016","Natalie's Estate Winery Cabernet Sauvignon Elephant Mountain Vineyard","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Natalie's Estate Winery","Natalie's Estate Winery","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Elephant Mountain Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2030"
"2845856","0120687713","Cellar","D","750ml","USD","1","0","0","0","USD","Unknown","11/17/2019","","2015","Raptor Ridge Pinot Noir Black Hole Vineyard","USA, Oregon, Willamette Valley, Chehalem Mountains","USA","Oregon","Willamette Valley","Chehalem Mountains","Raptor Ridge","Raptor Ridge","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Black Hole Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","3","","","2017","2021"
"2784220","0118174637","Cellar","D","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2014","Zerba Cellars Grenache Cockburn Walla Walla Valley","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Zerba Cellars","Zerba Cellars","Red","Red","Dry","Grenache","Grenache","Unknown","Cockburn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","2019","2024"
"3083895","0128729469","Cellar","D","750ml","USD","1","0","0","0","USD","Unknown","5/16/2020","","2016","Zerba Cellars Grenache Cockburn Walla Walla Valley","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Zerba Cellars","Zerba Cellars","Red","Red","Dry","Grenache","Grenache","Unknown","Cockburn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2017","2023"
"3083895","0128729468","Cellar","D","750ml","USD","1","0","0","0","USD","Unknown","5/16/2020","","2016","Zerba Cellars Grenache Cockburn Walla Walla Valley","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Zerba Cellars","Zerba Cellars","Red","Red","Dry","Grenache","Grenache","Unknown","Cockburn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2017","2023"
"3136342","0118174332","Cellar","E","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2015","Abacela Tempranillo Reserve South East Block","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Abacela","Abacela","Red","Red","Dry","Tempranillo","Tempranillo","Reserve","South East Block","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2019","2030"
"3398583","0118174147","Cellar","E","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2015","Cathedral Ridge Cabernet Sauvignon","USA, Oregon, Columbia Valley","USA","Oregon","Unknown","Columbia Valley","Cathedral Ridge","Cathedral Ridge","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2025"
"3398583","0118174148","Cellar","E","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2015","Cathedral Ridge Cabernet Sauvignon","USA, Oregon, Columbia Valley","USA","Oregon","Unknown","Columbia Valley","Cathedral Ridge","Cathedral Ridge","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2025"
"2816452","0127405724","Cellar","E","750ml","USD","1","0","0","0","USD","Unknown","4/21/2020","","2015","Eola Hills Wine Cellars Tempranillo","USA, Oregon","USA","Oregon","Unknown","Oregon","Eola Hills Wine Cellars","Eola Hills Wine Cellars","Red","Red","Dry","Tempranillo","Tempranillo","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2022"
"2946681","0118174162","Cellar","E","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2015","Kriselle Cellars Di'tani","USA, Oregon, Southern Oregon, Rogue Valley","USA","Oregon","Southern Oregon","Rogue Valley","Kriselle Cellars","Kriselle Cellars","Red","Red","Dry","Red Blend","Red Blend","Di'tani","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","3","","","2019","2023"
"3406970","0118174408","Cellar","E","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2016","Natalie's Estate Winery Cabernet Sauvignon","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Natalie's Estate Winery","Natalie's Estate Winery","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2022","2026"
"2650366","0118174178","Cellar","E","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2015","Raptor Ridge Pinot Noir Meredith Mitchell Vineyard","USA, Oregon, Willamette Valley","USA","Oregon","Willamette Valley","Willamette Valley","Raptor Ridge","Raptor Ridge","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Meredith Mitchell Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.5","2","","","2020","2030"
"3414084","0118587722","Cellar","E","750ml","USD","1","0","0","0","USD","Unknown","9/30/2019","","2017","Raptor Ridge Pinot Noir Whole Cluster Estate","USA, Oregon, Willamette Valley, Chehalem Mountains","USA","Oregon","Willamette Valley","Chehalem Mountains","Raptor Ridge","Raptor Ridge","Red","Red","Dry","Pinot Noir","Pinot Noir","Whole Cluster","Estate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2019","2030"
"3598496","0126866721","Cellar","F","750ml","USD","1","0","0","0","USD","Unknown","4/12/2020","","2018","Beckham Estate Vineyard Pinot Noir A.D. Beckham Amphora Creta","USA, Oregon, Willamette Valley, Chehalem Mountains","USA","Oregon","Willamette Valley","Chehalem Mountains","Beckham Estate Vineyard","Beckham Estate Vineyard","Red","Red","Dry","Pinot Noir","Pinot Noir","A.D. Beckham Amphora Creta","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2021","2025"
"3599017","0126866805","Cellar","F","750ml","USD","1","0","0","0","USD","Unknown","4/12/2020","","2019","Beckham Estate Vineyard Pinot Noir Olivia's Pinot Noir Rose","USA, Oregon, Willamette Valley, Chehalem Mountains","USA","Oregon","Willamette Valley","Chehalem Mountains","Beckham Estate Vineyard","Beckham Estate Vineyard","Rosé","Rosé","Dry","Pinot Noir","Pinot Noir","Olivia's Pinot Noir Rose","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","",""
"2315028","0118175023","Cellar","F","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2016","Dominio Pingus Ribera del Duero Psi","Spain, Castilla y León, Ribera del Duero","Spain","Castilla y León","Unknown","Ribera del Duero","Dominio Pingus","Dominio Pingus","Red","Red","Dry","Tempranillo","Tempranillo","Psi","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0555555555556","38","","","2019","2027"
"3263708","0127405819","Cellar","F","750ml","USD","1","0","0","0","USD","Unknown","4/21/2020","","2015","Eola Hills Wine Cellars Syrah","USA, Oregon, Columbia Valley","USA","Oregon","Unknown","Columbia Valley","Eola Hills Wine Cellars","Eola Hills Wine Cellars","Red","Red","Dry","Syrah","Syrah","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","1","","","2020","2023"
"3070258","0118175003","Cellar","F","750ml","USD","1","0","0","0","USD","Unknown","9/19/2019","","2016","Fairsing Vineyard Pinot Noir","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Fairsing Vineyard","Fairsing Vineyard","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","1","","","2019","2024"
"2474496","0128729651","Cellar","F","750ml","USD","1","0","0","0","USD","Unknown","5/16/2020","","2014","Raptor Ridge Pinot Noir Flight Club Select","USA, Oregon, Willamette Valley","USA","Oregon","Willamette Valley","Willamette Valley","Raptor Ridge","Raptor Ridge","Red","Red","Dry","Pinot Noir","Pinot Noir","Flight Club Select","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","1","","","",""
"3405269","0119501486","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","10/23/2019","","2016","Kiona Cabernet Franc Kiona Estate","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Kiona","Kiona","Red","Red","Dry","Cabernet Franc","Cabernet Franc","Kiona Estate","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2024"
"3165906","0119501470","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","10/23/2019","","2016","Kiona Estates Cuvee","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Kiona","Kiona","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Estates Cuvee","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.6666666666667","3","","","2018","2022"
"3165906","0119501469","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","10/23/2019","","2016","Kiona Estates Cuvee","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Kiona","Kiona","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Estates Cuvee","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.6666666666667","3","","","2018","2022"
"3261792","0119149160","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","10/15/2019","","2016","Kiona Red Mountain Reserve","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Kiona","Kiona","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Red Mountain Reserve","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.75","4","","","2020","2025"
"3238461","0119501510","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","10/23/2019","","2016","Kiona Sangiovese Kiona Vineyards","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Kiona","Kiona","Red","Red","Dry","Sangiovese","Sangiovese","Unknown","Kiona Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","",""
"3238461","0119501511","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","10/23/2019","","2016","Kiona Sangiovese Kiona Vineyards","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Kiona","Kiona","Red","Red","Dry","Sangiovese","Sangiovese","Unknown","Kiona Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","",""
"3410149","0119502137","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","10/23/2019","","1001","Kiona Zinfandel The Big Kiona","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Kiona","Kiona","Red","Red","Dry","Zinfandel","Zinfandel","The Big Kiona","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","1","","","2019","2024"
"3410149","0119502138","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","10/23/2019","","1001","Kiona Zinfandel The Big Kiona","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Kiona","Kiona","Red","Red","Dry","Zinfandel","Zinfandel","The Big Kiona","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","1","","","2019","2024"
"3157543","0125119238","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","3/8/2020","","2015","Natalie's Estate Winery Cabernet Sauvignon Rock Horse Ranch","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Natalie's Estate Winery","Natalie's Estate Winery","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Rock Horse Ranch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","2020","2020"
"2778886","0119149204","Office","BIG","750ml","USD","1","0","0","0","USD","Unknown","10/15/2019","","2015","Natalie's Estate Winery Tempranillo","USA, Oregon, Columbia Valley","USA","Oregon","Unknown","Columbia Valley","Natalie's Estate Winery","Natalie's Estate Winery","Red","Red","Dry","Tempranillo","Tempranillo","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.5","2","","","2018","2022"
"3398706","0120842937","Office","Gracie box","750ml","USD","1","0","0","0","USD","Unknown","11/21/2019","","2016","Abacela Merlot","USA, Oregon, Southern Oregon","USA","Oregon","Southern Oregon","Southern Oregon","Abacela","Abacela","Red","Red","Dry","Merlot","Merlot","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","2023"
"3448904","0120842892","Office","Gracie box","750ml","USD","1","0","0","0","USD","Unknown","11/21/2019","","2017","Abacela Tannat","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Abacela","Abacela","Red","Red","Dry","Tannat","Tannat","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","2024"
"3448904","0120842893","Office","Gracie box","750ml","USD","1","0","0","0","USD","Unknown","11/21/2019","","2017","Abacela Tannat","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Abacela","Abacela","Red","Red","Dry","Tannat","Tannat","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","2024"
"3386258","0120842925","Office","Gracie box","750ml","USD","1","0","0","0","USD","Unknown","11/21/2019","","2016","Abacela Tempranillo Barrel Select Estate","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Abacela","Abacela","Red","Red","Dry","Tempranillo","Tempranillo","Barrel Select","Estate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","1","","","","2028"
"3386258","0120842926","Office","Gracie box","750ml","USD","1","0","0","0","USD","Unknown","11/21/2019","","2016","Abacela Tempranillo Barrel Select Estate","USA, Oregon, Southern Oregon, Umpqua Valley","USA","Oregon","Southern Oregon","Umpqua Valley","Abacela","Abacela","Red","Red","Dry","Tempranillo","Tempranillo","Barrel Select","Estate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","1","","","","2028"
"2735251","0119502507","Office","Gracie box","750ml","USD","1","0","0","0","USD","Unknown","10/23/2019","","2013","Descendants Liegeois Dupont Cuvée Marcel Dupont","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Descendants Liegeois Dupont","Descendants Liegeois Dupont","Red","Red","Dry","Syrah","Syrah","Cuvée Marcel Dupont","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","17","","","2019","2025"
"2735251","0119502508","Office","Gracie box","750ml","USD","1","0","0","0","USD","Unknown","10/23/2019","","2013","Descendants Liegeois Dupont Cuvée Marcel Dupont","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Descendants Liegeois Dupont","Descendants Liegeois Dupont","Red","Red","Dry","Syrah","Syrah","Cuvée Marcel Dupont","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","17","","","2019","2025"
